#Build Info: Feb  5 2022 , 04:09:25: Release.
#Test Mobile Application   TM500 5G NR VERSION : NLA5.11.2 Rev2
#Data Logged Test Mobile Application Version: 

#22/08/10,11:13:08:464,DESKTOP-6J2DEE1,L1THROUGHPUT,UE:0-31,ID:NA,100ms,SFN Timestamp,L1 Throughput

#System Parameter
#ScriptFile = ""


#UserConfiguredValues
[Cell Group]                            :[MCG-MCG],   [SCG-SCG],   
[RAT]                                   :[FDD-FDD],   [TDD-TDD],   [NR5G-NR5G],   

#State,Time,UE ID,SFN,H-SFN,Subframe,Cell Group,RAT,DL-SCH Throughput(Kbps),Average DL SCH throughput per UE(kbps),DL-SCH Throughput (PCC)(Kbps),DL-SCH Throughput (SCC1)(Kbps),DL-SCH Throughput (SCC2)(Kbps),DL-SCH Throughput (SCC3)(Kbps),DL-SCH Throughput (SCC4)(Kbps),DL-SCH Throughput (SCC5)(Kbps),DL-SCH Throughput (SCC6)(Kbps),DL-SCH Throughput (SCC7)(Kbps),UL-SCH Throughput(Kbps),Average UL SCH throughput per UE(kbps),UL-SCH Throughput (PCC)(Kbps),UL-SCH Throughput (SCC1)(Kbps),UL-SCH Throughput (SCC2)(Kbps),UL-SCH Throughput (SCC3)(Kbps),

0,11:13:36:164,0,0577,-,0,MCG,FDD,146519,146519,146519,-,-,-,-,-,-,-,147,147,147,-,-,-
0,11:13:36:264,0,0587,-,0,MCG,FDD,143723,143723,143723,-,-,-,-,-,-,-,175,175,175,-,-,-
0,11:13:36:364,0,0597,-,0,MCG,FDD,78046,78046,78046,-,-,-,-,-,-,-,129,129,129,-,-,-
0,11:13:36:464,0,0607,-,0,MCG,FDD,8280,8280,8280,-,-,-,-,-,-,-,29,29,29,-,-,-
0,11:13:36:564,0,0617,-,0,MCG,FDD,146050,146050,146050,-,-,-,-,-,-,-,131,131,131,-,-,-
0,11:13:36:664,0,0627,-,0,MCG,FDD,146519,146519,146519,-,-,-,-,-,-,-,160,160,160,-,-,-
0,11:13:36:764,0,0637,-,0,MCG,FDD,146050,146050,146050,-,-,-,-,-,-,-,147,147,147,-,-,-
0,11:13:36:864,0,0647,-,0,MCG,FDD,146050,146050,146050,-,-,-,-,-,-,-,191,191,191,-,-,-
0,11:13:36:964,0,0657,-,0,MCG,FDD,146519,146519,146519,-,-,-,-,-,-,-,161,161,161,-,-,-
0,11:13:37:064,0,0667,-,0,MCG,FDD,146050,146050,146050,-,-,-,-,-,-,-,160,160,160,-,-,-
0,11:13:37:164,0,0677,-,0,MCG,FDD,146519,146519,146519,-,-,-,-,-,-,-,161,161,161,-,-,-
0,11:13:37:264,0,0687,-,0,MCG,FDD,146050,146050,146050,-,-,-,-,-,-,-,191,191,191,-,-,-
0,11:13:37:364,0,0697,-,0,MCG,FDD,143261,143261,143261,-,-,-,-,-,-,-,161,161,161,-,-,-
0,11:13:37:464,0,0707,-,0,MCG,FDD,146519,146519,146519,-,-,-,-,-,-,-,159,159,159,-,-,-
0,11:13:37:564,0,0717,-,0,MCG,FDD,146050,146050,146050,-,-,-,-,-,-,-,147,147,147,-,-,-
0,11:13:37:664,0,0727,-,0,MCG,FDD,146050,146050,146050,-,-,-,-,-,-,-,147,147,147,-,-,-
0,11:13:37:764,0,0737,-,0,MCG,FDD,146519,146519,146519,-,-,-,-,-,-,-,147,147,147,-,-,-
0,11:13:37:864,0,0747,-,0,MCG,FDD,146050,146050,146050,-,-,-,-,-,-,-,175,175,175,-,-,-
0,11:13:37:964,0,0757,-,0,MCG,FDD,146519,146519,146519,-,-,-,-,-,-,-,176,176,176,-,-,-
0,11:13:38:064,0,0767,-,0,MCG,FDD,146019,146019,146019,-,-,-,-,-,-,-,176,176,176,-,-,-
0,11:13:38:164,0,0777,-,0,MCG,FDD,146050,146050,146050,-,-,-,-,-,-,-,161,161,161,-,-,-
0,11:13:38:264,0,0787,-,0,MCG,FDD,146519,146519,146519,-,-,-,-,-,-,-,175,175,175,-,-,-
0,11:13:38:364,0,0797,-,0,MCG,FDD,146050,146050,146050,-,-,-,-,-,-,-,146,146,146,-,-,-
0,11:13:38:464,0,0807,-,0,MCG,FDD,146050,146050,146050,-,-,-,-,-,-,-,176,176,176,-,-,-
0,11:13:38:564,0,0817,-,0,MCG,FDD,146519,146519,146519,-,-,-,-,-,-,-,161,161,161,-,-,-
0,11:13:38:664,0,0827,-,0,MCG,FDD,57732,57732,57732,-,-,-,-,-,-,-,113,113,113,-,-,-
0,11:13:38:764,0,0837,-,0,MCG,FDD,-,-,-,-,-,-,-,-,-,-,14,14,14,-,-,-
0,11:13:38:864,0,0847,-,0,MCG,FDD,7961,7961,7961,-,-,-,-,-,-,-,-,-,-,-,-,-
